Nb             ToA                                     Obs    
1              58680.096059788513230                   1st
2              58680.121183732051577                   1st
3              58680.122013797838008                   1st
4              58680.144202023249818                   1st
5              58762.869678752766049                   3rd
6              58762.906190244175377                   3rd
7              58762.913739091389289                   3rd
8              58762.942230085740448                   3rd
9              58762.976527483217069                   3rd
10             58762.977852698510105                   3rd
11             58763.863770862008096                   4th
12             58763.863771024045133                   4th
13             58763.881429174252844                   4th
14             58763.919885476054333                   4th
15             58763.969012170746282                   4th
